2016-09-30 12:06:06,017 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64587
2016-09-30 12:08:39,334 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64673
2016-09-30 12:11:33,966 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64748
2016-09-30 12:16:14,683 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Fri Sep 30 12:16:14 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-30 12:16:16,222 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-30 12:16:16,222 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-30 12:16:16,253 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:16:16,861 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 12:16:17,111 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 12:16:17,111 | INFO  | Recovery replayed 2 operations from the journal in 0.203 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 12:16:17,158 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:16:17,158 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 12:16:17,563 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 12:16:17,563 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
